case_id,gt_index,gt_id,gt_size,model_key,detected,pred_index,pred_size,lesion_dice
BraTS20_Training_035,1,2,11,baseline,False,-1,0,0.0
BraTS20_Training_035,1,2,11,lhfc,False,-1,0,0.0
BraTS20_Training_035,1,2,11,full,False,-1,0,0.0
BraTS20_Training_089,2,3,21,baseline,False,-1,0,0.0
BraTS20_Training_089,2,3,21,lhfc,False,-1,0,0.0
BraTS20_Training_089,2,3,21,full,False,-1,0,0.0
BraTS20_Training_298,0,1,24,baseline,False,-1,0,0.0
BraTS20_Training_298,1,2,30,baseline,True,0,78,0.4444444444444444
BraTS20_Training_298,2,3,14,baseline,False,-1,0,0.0
BraTS20_Training_298,0,1,24,lhfc,False,-1,0,0.0
BraTS20_Training_298,1,2,30,lhfc,True,0,59,0.5393258426966292
BraTS20_Training_298,2,3,14,lhfc,True,1,11,0.56
BraTS20_Training_298,0,1,24,full,False,-1,0,0.0
BraTS20_Training_298,1,2,30,full,True,0,72,0.49019607843137253
BraTS20_Training_298,2,3,14,full,True,1,13,0.6666666666666666
BraTS20_Training_093,1,2,11,baseline,False,-1,0,0.0
BraTS20_Training_093,1,2,11,lhfc,False,-1,0,0.0
BraTS20_Training_093,1,2,11,full,False,-1,0,0.0
BraTS20_Training_309,0,1,15,baseline,False,-1,0,0.0
BraTS20_Training_309,5,6,14,baseline,False,-1,0,0.0
BraTS20_Training_309,6,7,12,baseline,False,-1,0,0.0
BraTS20_Training_309,8,9,42,baseline,True,5,311,0.23796033994334279
BraTS20_Training_309,0,1,15,lhfc,False,-1,0,0.0
BraTS20_Training_309,5,6,14,lhfc,False,-1,0,0.0
BraTS20_Training_309,6,7,12,lhfc,False,-1,0,0.0
BraTS20_Training_309,8,9,42,lhfc,True,3,281,0.26006191950464397
BraTS20_Training_309,0,1,15,full,False,-1,0,0.0
BraTS20_Training_309,5,6,14,full,False,-1,0,0.0
BraTS20_Training_309,6,7,12,full,False,-1,0,0.0
BraTS20_Training_309,8,9,42,full,True,4,235,0.30324909747292417
BraTS20_Training_332,1,2,24,baseline,True,1,21,0.044444444444444446
BraTS20_Training_332,1,2,24,lhfc,True,1,47,0.056338028169014086
BraTS20_Training_332,1,2,24,full,True,1,38,0.03225806451612903
BraTS20_Training_112,1,2,10,baseline,False,-1,0,0.0
BraTS20_Training_112,1,2,10,lhfc,False,-1,0,0.0
BraTS20_Training_112,1,2,10,full,False,-1,0,0.0
BraTS20_Training_101,1,2,22,baseline,False,-1,0,0.0
BraTS20_Training_101,2,3,12,baseline,False,-1,0,0.0
BraTS20_Training_101,5,6,11,baseline,False,-1,0,0.0
BraTS20_Training_101,1,2,22,lhfc,False,-1,0,0.0
BraTS20_Training_101,2,3,12,lhfc,False,-1,0,0.0
BraTS20_Training_101,5,6,11,lhfc,False,-1,0,0.0
BraTS20_Training_101,1,2,22,full,False,-1,0,0.0
BraTS20_Training_101,2,3,12,full,False,-1,0,0.0
BraTS20_Training_101,5,6,11,full,False,-1,0,0.0
BraTS20_Training_174,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_174,1,2,18,lhfc,False,-1,0,0.0
BraTS20_Training_174,1,2,18,full,False,-1,0,0.0
BraTS20_Training_261,1,2,39,baseline,False,-1,0,0.0
BraTS20_Training_261,2,3,10,baseline,False,-1,0,0.0
BraTS20_Training_261,4,5,11,baseline,False,-1,0,0.0
BraTS20_Training_261,5,6,14,baseline,False,-1,0,0.0
BraTS20_Training_261,6,7,16,baseline,False,-1,0,0.0
BraTS20_Training_261,8,9,11,baseline,False,-1,0,0.0
BraTS20_Training_261,10,11,12,baseline,False,-1,0,0.0
BraTS20_Training_261,11,12,11,baseline,False,-1,0,0.0
BraTS20_Training_261,1,2,39,lhfc,False,-1,0,0.0
BraTS20_Training_261,2,3,10,lhfc,False,-1,0,0.0
BraTS20_Training_261,4,5,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,5,6,14,lhfc,False,-1,0,0.0
BraTS20_Training_261,6,7,16,lhfc,False,-1,0,0.0
BraTS20_Training_261,8,9,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,10,11,12,lhfc,False,-1,0,0.0
BraTS20_Training_261,11,12,11,lhfc,False,-1,0,0.0
BraTS20_Training_261,1,2,39,full,False,-1,0,0.0
BraTS20_Training_261,2,3,10,full,False,-1,0,0.0
BraTS20_Training_261,4,5,11,full,False,-1,0,0.0
BraTS20_Training_261,5,6,14,full,False,-1,0,0.0
BraTS20_Training_261,6,7,16,full,False,-1,0,0.0
BraTS20_Training_261,8,9,11,full,False,-1,0,0.0
BraTS20_Training_261,10,11,12,full,False,-1,0,0.0
BraTS20_Training_261,11,12,11,full,False,-1,0,0.0
BraTS20_Training_260,2,3,34,baseline,False,-1,0,0.0
BraTS20_Training_260,2,3,34,lhfc,False,-1,0,0.0
BraTS20_Training_260,2,3,34,full,False,-1,0,0.0
BraTS20_Training_216,0,1,12,baseline,False,-1,0,0.0
BraTS20_Training_216,2,3,14,baseline,False,-1,0,0.0
BraTS20_Training_216,3,4,13,baseline,False,-1,0,0.0
BraTS20_Training_216,0,1,12,lhfc,False,-1,0,0.0
BraTS20_Training_216,2,3,14,lhfc,False,-1,0,0.0
BraTS20_Training_216,3,4,13,lhfc,False,-1,0,0.0
BraTS20_Training_216,0,1,12,full,False,-1,0,0.0
BraTS20_Training_216,2,3,14,full,False,-1,0,0.0
BraTS20_Training_216,3,4,13,full,False,-1,0,0.0
BraTS20_Training_155,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_155,1,2,18,lhfc,False,-1,0,0.0
BraTS20_Training_155,1,2,18,full,False,-1,0,0.0
BraTS20_Training_248,1,2,18,baseline,False,-1,0,0.0
BraTS20_Training_248,2,3,33,baseline,True,1,16,0.6122448979591837
BraTS20_Training_248,1,2,18,lhfc,True,1,18,0.9444444444444444
BraTS20_Training_248,2,3,33,lhfc,True,2,11,0.2727272727272727
BraTS20_Training_248,1,2,18,full,True,1,18,0.9444444444444444
BraTS20_Training_248,2,3,33,full,False,-1,0,0.0
